Fecha operación,Tipo operación,Valor,Nº. Part.,VL Compra,USD,Cambio,Importe compra,VL Venta,USD,Cambio,Importe actual,"Porcentaje 
SIN divisa","Porcentaje 
CON divisa",Años,,TAE,"Comision
 Compra","Comision
 Venta",Tipo,%,,Objetivo,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
3/01/2019,COMPRA,EPA:RNO,40,"52,75","2.110,00","1,0000","2.110,00","43,95","1758,00","1,000","1.758,00","-16,68","-16,68","0,968",,"0,83",15,,ACC,"2,25",,95,"1,80",
7/01/2019,COMPRA,BIT:EXO,50,"46,51","2.325,50","1,0000","2.325,50","71,1","3555,00","1,000","3.555,00","52,87","52,87","0,957",,"1,56",15,,ACC,"2,48",,,,
8/01/2019,COMPRA,AAPL,20,"149,74","2.994,80","1,1380","2.631,63","279,44","5588,80","1,110","5.036,32","91,38","86,62","0,955",,"1,97","13,18",,ACC,"2,81",,250,"1,67",
8/01/2019,COMPRA,TK,500,"3,63","1.815,00","1,1294","1.607,00","5,47","2735,00","1,110","2.464,63","53,37","50,69","0,955",,"1,57",15,,ACC,"1,71",,40,"11,02",Vender a mitad
9/01/2019,COMPRA,ABX,250,"16,58","4.145,00","1,5160","2.734,17","22,93","5732,50","1,458","3.932,03","43,81","38,30","0,952",,"1,46","16,34",,GOLD,"2,92",Barrick,,,
9/01/2019,COMPRA,TSE:IPCO,700,"4,71","3.294,20","1,5237","2.162,00","5,6","3920,00","1,458","2.688,80","24,37","19,00","0,952",,"1,26","16,31",,ACC,"2,31",,10,"2,12",
10/01/2019,COMPRA,LON:DC,2000,"121,70","2.434,00","0,9005","2.703,00","146,9","2938,00","0,851","3.451,07","27,68","20,71","0,949",,"1,29","16,72",,ACC,"2,88",dixons carphone,,,
11/01/2019,COMPRA,BRK.B,10,"194,51","1.945,10","1,1302","1.721,09","226,31","2263,10","1,110","2.039,38","18,49","16,35","0,946",,"1,20","13,28",,ACC,"1,84",Berkshire,,,
11/01/2019,COMPRA,TSE:BAM.A,100,"53,75","5.375,00","1,5149","3.548,00","76,69","7669,00","1,458","5.260,31","48,26","42,68","0,946",,"1,52","16,51",,ACC,"3,78",Brookfiield,,,
11/01/2019,COMPRA,HKG:0184,6000,"4,94","29.640,00","8,9493","3.312,00","4,5","27000,00","8,651","3.120,99","-5,77","-8,91","0,946",,"0,94","16,59",,ACC,"3,53",Keck Seng,8,"1,62",
11/01/2019,COMPRA,ETR:PAH3,50,"54,54","2.727,00","1,0000","2.727,00","67,54","3377,00","1,000","3.377,00","23,84","23,84","0,946",,"1,25",15,,ACC,"2,91",Porsche,100,"1,83",
11/01/2019,COMPRA,TSE:SSL,750,"6,31","4.732,50","1,5168","3.120,00","8,77","6577,50","1,458","4.511,63","44,60","38,99","0,946",,"1,48",15,,GOLD,"3,33",Sandstorm,,,
21/01/2019,,SWX:ARYN,4000,"1,17","4.680,00","1,0950","4.273,97","1,06","4240,00","1,088","3.895,98","-8,84","-9,40","0,919",,"0,90",40,,ACC,"4,56",,,,
