valor	fecha	BESTINVER_INTERNACIONAL	LTIF	AZVALOR_INTERNACIONAL	COBAS_INTERNACIONAL	MG_OPTIMAL_INCOME	TRUE_VALUE	MAGALLANES_MICROCAPS	MAGALLANES_EUROPEAN_M	VALENTUM	HOROS_INTERNACIONAL	BAELO
	02/01/2006	16,072										
	03/01/2006	16,180										
	04/01/2006	16,354										
	05/01/2006	16,346										
	09/01/2006	16,383										
	10/01/2006	16,368										
	11/01/2006	16,480										
	12/01/2006	16,564										
	13/01/2006	16,577										
	16/01/2006	16,653										
	17/01/2006	16,651										
	18/01/2006	16,515										
	19/01/2006	16,619										
	20/01/2006	16,632										
	23/01/2006	16,586										
	24/01/2006	16,652										
	25/01/2006	16,800										
	26/01/2006	16,845										
	27/01/2006	17,020										
	30/01/2006	17,006										
	31/01/2006	17,060	271,480									
	01/02/2006	17,186										
	02/02/2006	17,255										
	03/02/2006	17,315										
	06/02/2006	17,368										
	07/02/2006	17,349										
	08/02/2006	17,345										
	09/02/2006	17,403										
	10/02/2006	17,419										
	13/02/2006	17,485										
	14/02/2006	17,503										
	15/02/2006	17,585										
	16/02/2006	17,613										
	17/02/2006	17,629										
	20/02/2006	17,636										
	21/02/2006	17,725										
	22/02/2006	17,714										
	23/02/2006	17,753										
	24/02/2006	17,833										
	27/02/2006	17,846										
	28/02/2006	17,809	268,460									
	01/03/2006	17,905										
	02/03/2006	17,943										
	03/03/2006	17,938										
	06/03/2006	17,954										
	07/03/2006	17,886										
	08/03/2006	17,767										
	09/03/2006	17,834										
	10/03/2006	17,878										
	13/03/2006	17,917										
	14/03/2006	17,966										
	15/03/2006	18,034										
	16/03/2006	18,098										
	17/03/2006	18,165										
	20/03/2006	18,255										
	21/03/2006	18,239										
	22/03/2006	18,310										
	23/03/2006	18,345										
	24/03/2006	18,408										
	27/03/2006	18,430										
	28/03/2006	18,341										
	29/03/2006	18,314										
	30/03/2006	18,425										
	31/03/2006	18,465	277,270									
	03/04/2006	18,616										
	04/04/2006	18,649										
	05/04/2006	18,679										
	06/04/2006	18,640										
	07/04/2006	18,693										
	10/04/2006	18,695										
	11/04/2006	18,581										
	12/04/2006	18,593										
	13/04/2006	18,610										
	17/04/2006	18,600										
	18/04/2006	18,510										
	19/04/2006	18,618										
	20/04/2006	18,720										
	21/04/2006	18,770										
	24/04/2006	18,781										
	25/04/2006	18,822										
	26/04/2006	18,844										
	27/04/2006	18,749										
	28/04/2006	18,702	287,300									
	02/05/2006	18,748										
	03/05/2006	18,744										
	04/05/2006	18,814										
	05/05/2006	18,960										
	08/05/2006	19,010										
	09/05/2006	19,092										
	10/05/2006	19,074										
	11/05/2006	19,043										
	12/05/2006	18,849										
	16/05/2006	18,562										
	17/05/2006	18,278										
	18/05/2006	18,024										
	19/05/2006	18,010										
	22/05/2006	17,514										
	23/05/2006	17,743										
	24/05/2006	17,650										
	25/05/2006	17,689										
	26/05/2006	17,941										
	29/05/2006	17,968										
	30/05/2006	17,734										
	31/05/2006	17,841	269,980									
	01/06/2006	17,844										
	05/06/2006	17,885										
	06/06/2006	17,629										
	07/06/2006	17,603										
	08/06/2006	17,259										
	09/06/2006	17,405										
	12/06/2006	17,325										
	13/06/2006	17,024										
	14/06/2006	16,991										
	15/06/2006	17,243										
	16/06/2006	17,219										
	19/06/2006	17,304										
	20/06/2006	17,255										
	21/06/2006	17,214										
	22/06/2006	17,181										
	23/06/2006	17,204										
	26/06/2006	17,216										
	27/06/2006	17,182										
	28/06/2006	17,111										
	29/06/2006	17,244										
	30/06/2006	17,423	274,190									
	03/07/2006	17,518										
	04/07/2006	17,530	278,910									
	05/07/2006	17,468	278,910									
	06/07/2006	17,575										
	07/07/2006	17,504										
	10/07/2006	17,560										
	11/07/2006	17,516	280,590									
	12/07/2006	17,639	280,590									
	13/07/2006	17,506										
	14/07/2006	17,407	275,850									
	17/07/2006	17,220	271,170									
	18/07/2006	17,169	271,270									
	19/07/2006	17,303	272,940									
	20/07/2006	17,327	272,050									
	21/07/2006	17,256	268,180									
	24/07/2006	17,376	271,680									
	25/07/2006	17,461	271,680									
	26/07/2006	17,486	280,000									
	27/07/2006	17,558	279,620									
	28/07/2006	17,564	280,060									
	31/07/2006	17,560	282,220									
	01/08/2006	17,487	282,040									
	02/08/2006	17,503	283,020									
	03/08/2006	17,479	281,360									
	04/08/2006	17,521	279,560									
	07/08/2006	17,449	279,890									
	08/08/2006	17,380	281,860									
	09/08/2006	17,354	282,470									
	10/08/2006	17,308	282,260									
	11/08/2006	17,324	281,290									
	14/08/2006	17,397										
	15/08/2006	17,428	278,550									
	16/08/2006	17,519										
	17/08/2006	17,583	276,900									
	18/08/2006	17,628	278,940									
	21/08/2006	17,610	279,380									
	22/08/2006	17,684	281,740									
	23/08/2006	17,634	281,420									
	24/08/2006	17,654	280,280									
	25/08/2006	17,643	282,050									
	28/08/2006	17,640	280,540									
	29/08/2006	17,694	281,570									
	30/08/2006	17,775	280,710									
	31/08/2006	17,830	281,620									
	01/09/2006	17,905	283,430									
	04/09/2006	17,959	284,930									
	05/09/2006	17,914	286,730									
